Unnamed: 0,Act. Pop.,Constant,J,Length,Us,V,V2,V3,atom,energy,error,esterm,functional,spin,t,Method,Excitation
0,9.9093867187,1.0,1.43367656524,1.5,1.9333676841,10.6685260024,15.0637850698,14.0937262723,H,-5.391336707,0.002013024128,9.9093867187,pbe,Spin: 0,12.4087053766,uks,singles
1,9.8861318165,1.0,0.846409823325,1.5,1.83233119042,11.5775720088,14.1930748762,14.177836871,H,-5.169752168,0.001745942655,9.8861318165,pbe,Spin: 0,9.77692343372,uks,singles
2,9.9004274706,1.0,0.90078209262,1.5,1.8196530562,11.7002289769,14.1564499143,14.2802918866,H,-5.177053059,0.003510601946,9.9004274706,pbe,Spin: 0,9.82649091486,uks,singles
3,9.8534087209,1.0,0.720702052697,1.5,1.8025384336,11.4452984419,14.445671656,13.8626244937,H,-5.030878416,0.001783323932,9.8534087209,pbe,Spin: 0,8.98952142247,uks,singles
4,9.8421778178,1.0,0.67701867522,1.5,1.6962255921,11.7201096885,14.3169229789,13.7724509794,H,-5.033786714,0.002786024106,9.8421778178,pbe,Spin: 0,8.76146732424,uks,singles
5,9.8887111755,1.0,0.61105540186,1.5,1.5708954817,11.1049343479,15.9281250998,12.399265948,H,-4.997365447,0.006450385389,9.8887111755,pbe,Spin: 0,8.4081213947,uks,singles
7,9.8831846284,1.0,0.92192000401,1.5,1.79392123071,11.3537374166,14.5044811776,14.3022599549,H,-5.202748904,0.00127346994,9.8831846284,pbe,Spin: 0,10.0792837458,uks,singles
8,9.8820484858,1.0,0.956342212319,1.5,1.8233153434,11.2673033442,14.4872059739,14.4053043548,H,-5.196747934,0.001592549358,9.8820484858,pbe,Spin: 0,10.1197829942,uks,singles
9,9.8656298121,1.0,0.801019339545,1.5,1.6948213268,10.9454527199,15.1803350115,13.60245226,H,-5.090793311,0.002642439593,9.8656298121,pbe,Spin: 0,9.25703906812,uks,singles
10,9.8399620734,1.0,0.77647865832,1.5,1.7549995486,11.8184447304,13.8202954069,14.1985745855,H,-5.024690382,0.01281766356,9.8399620734,pbe,Spin: 0,9.28031091112,uks,singles
11,9.8721683096,1.0,0.675473258346,1.5,1.70245460753,11.8218000235,14.5413888935,13.861226964,H,-4.952548362,0.004535354745,9.8721683096,pbe,Spin: 0,8.8334959844,uks,singles
13,9.8698115705,1.0,0.90850582,1.5,1.7709588629,11.5718373362,14.2185205238,14.3251894023,H,-5.202515063,0.003672159523,9.8698115705,pbe,Spin: 0,10.0666027201,uks,singles
14,9.8884524954,1.0,0.946926727521,1.5,1.8603371051,11.2784977124,14.5381939189,14.3309720526,H,-5.193738189,0.001429339699,9.8884524954,pbe,Spin: 0,10.1302583497,uks,singles
15,9.8432688664,1.0,0.76124594512,1.5,1.7253607463,11.6904016384,13.815598847,14.3307013977,H,-5.064316657,0.001571201632,9.8432688664,pbe,Spin: 0,9.13675253253,uks,singles
16,9.870164671,1.0,0.775524323704,1.5,1.6998489892,10.9896729154,15.0252194356,13.7810108339,H,-5.094353665,0.00325942117,9.870164671,pbe,Spin: 0,9.28627575397,uks,singles
17,9.8737938558,1.0,0.690018768479,1.5,1.6991469526,11.7052358189,14.4848337118,13.8874105635,H,-4.966430641,0.003977089974,9.8737938558,pbe,Spin: 0,8.73965326537,uks,singles
19,9.8735952799,1.0,1.15381873214,1.5,1.8516594581,11.2208635899,14.59885731,14.088842307,H,-5.233793963,0.01272492194,9.8735952799,pbe,Spin: 0,11.1281036613,uks,singles
20,9.915451,1.0,1.22165343948,1.5,1.8924376719,11.0976889135,14.7229992637,14.5600691835,H,-5.281287708,0.0009237621323,9.915451,pbe,Spin: 0,11.3627235726,uks,singles
21,9.865401396,1.0,0.950151172825,1.5,1.7571870185,11.2305609367,14.4978850883,14.3024167071,H,-5.138221672,0.002805145384,9.865401396,pbe,Spin: 0,10.1402634571,uks,singles
22,9.8535559284,1.0,0.95206779955,1.5,1.748604902,11.3837447998,14.2707300651,14.3026785361,H,-5.131963127,0.00260916145,9.8535559284,pbe,Spin: 0,10.1212166018,uks,singles
23,9.871580685,1.0,0.90243934595,1.5,1.7362163546,11.625102171,14.115515792,14.2123190439,H,-4.976876059,0.002005460735,9.871580685,pbe,Spin: 0,9.78081940195,uks,singles
25,9.8784820741,1.0,1.15456556721,1.5,1.8652359766,10.8887929408,14.6838912132,14.5193887892,H,-5.2793705,0.001267801879,9.8784820741,pbe,Spin: 0,11.1147992997,uks,singles
26,9.8774318077,1.0,1.11040463261,1.5,1.8389765572,10.7210123735,15.0949197039,13.9763264323,H,-5.280653668,0.002002368099,9.8774318077,pbe,Spin: 0,11.0382055066,uks,singles
27,9.8491112225,1.0,0.927061286487,1.5,1.7640236246,11.1210989859,14.460594382,14.3160207725,H,-5.136348332,0.002241223975,9.8491112225,pbe,Spin: 0,10.1321984093,uks,singles
28,9.8514928213,1.0,0.96455878996,1.5,1.7927718686,11.2428495663,14.3648257188,14.2654789439,H,-5.126480603,0.003785436751,9.8514928213,pbe,Spin: 0,10.2216946914,uks,singles
29,9.881070062,1.0,0.84216735381,1.5,1.7162526142,11.6443324861,14.1720434481,14.1750119483,H,-5.036617256,0.003996932483,9.881070062,pbe,Spin: 0,9.65109982266,uks,singles
30,9.9193252443,1.0,1.20329092244,1.75,1.6259181636,10.9469125989,15.133017987,14.1659637285,H,-5.23761848,0.00229543128,9.9193252443,pbe,Spin: 0,11.9763308839,uks,singles
31,9.9017460723,1.0,0.78086638759,1.75,1.5596104896,11.9851311225,14.0985192609,14.3471876226,H,-5.082956541,0.004885826233,9.9017460723,pbe,Spin: 0,9.58161351747,uks,singles
32,9.8259021007,1.0,0.709434407213,1.75,1.4323526433,12.084017637,13.8385776362,13.9833748497,H,-5.075990539,0.001534981889,9.8259021007,pbe,Spin: 0,9.02848483967,uks,singles
33,9.8788438911,1.0,0.630327771963,1.75,1.50869348484,12.0587325044,14.4227001645,13.8636446566,H,-4.986478726,0.004839009719,9.8788438911,pbe,Spin: 0,8.62354913224,uks,singles
34,9.8599832203,1.0,0.670949298846,1.75,1.5214066569,11.6141016283,14.5793766926,13.8783608829,H,-5.001922572,0.005627371259,9.8599832203,pbe,Spin: 0,8.64302262614,uks,singles
35,9.9038726868,1.0,0.57543334442,1.75,1.35328741593,12.060126297,15.3026924584,12.8146042468,H,-4.97643133,0.008928711019,9.9038726868,pbe,Spin: 0,8.10154706522,uks,singles
